HomeTeam,AwayTeam,Date
Fulham,Liverpool,2-Feb
Leeds,Wolves,2-Jan
Spurs,Southampton,4-Jan
Leicester,Brentford,2-Feb
Man Utd,Brighton,1-Feb
Aston Villa,Everton,2-Jan
Arsenal,Leicester,4-Feb
Southampton,Leeds,2-Feb
Chelsea,Spurs,2-Feb
Liverpool,Crystal Palace,1-Jan
Crystal Palace,Aston Villa,3-Jan
Everton,Nottingham Forest,1-Jan
Fulham,Brentford,3-Feb
Leicester,Southampton,1-Feb
Newcastle,Man City,3-Mar
Man Utd,Liverpool,2-Jan
Brentford,Everton,1-Jan
Chelsea,Leicester,2-Jan
Man City,Crystal Palace,4-Feb
Arsenal,Fulham,2-Jan
Wolves,Newcastle,1-Jan
Fulham,Brighton,2-Jan
Crystal Palace,Brentford,1-Jan
Southampton,Chelsea,2-Jan
Leeds,Everton,1-Jan
Arsenal,Aston Villa,2-Jan
West Ham,Spurs,1-Jan
Liverpool,Newcastle,2-Jan
Brentford,Leeds,5-Feb
Chelsea,West Ham,2-Jan
Nottingham Forest,Bournemouth,2-Mar
Spurs,Fulham,2-Jan
Aston Villa,Man City,1-Jan
Brighton,Leicester,5-Feb
Man Utd,Arsenal,3-Jan
Nottingham Forest,Fulham,2-Mar
Newcastle,Bournemouth,1-Jan
Spurs,Leicester,6-Feb
Arsenal,Spurs,3-Jan
Crystal Palace,Chelsea,1-Feb
Fulham,Newcastle,1-Apr
Liverpool,Brighton,3-Mar
Southampton,Everton,1-Feb
Man City,Man Utd,6-Mar
Bournemouth,Leicester,2-Jan
Newcastle,Brentford,5-Jan
Crystal Palace,Leeds,2-Jan
West Ham,Fulham,3-Jan
Arsenal,Liverpool,3-Feb
Everton,Man Utd,1-Feb
Nottingham Forest,Aston Villa,1-Jan
Fulham,Bournemouth,2-Feb
Southampton,West Ham,1-Jan
Crystal Palace,Wolves,2-Jan
Arsenal,Man City,3-Jan
Man City,Brighton,3-Jan
Chelsea,Man Utd,1-Jan
Leeds,Fulham,2-Mar
Southampton,Arsenal,1-Jan
Spurs,Newcastle,1-Feb
Bournemouth,Spurs,2-Mar
Brentford,Wolves,1-Jan
Brighton,Chelsea,4-Jan
Liverpool,Leeds,1-Feb
Leeds,Bournemouth,4-Mar
Man City,Fulham,2-Jan
Nottingham Forest,Brentford,2-Feb
Wolves,Brighton,2-Mar
Aston Villa,Man Utd,3-Jan
Southampton,Newcastle,1-Apr
West Ham,Crystal Palace,1-Feb
Spurs,Liverpool,1-Feb
Man City,Brentford,1-Feb
Liverpool,Southampton,3-Jan
Spurs,Leeds,4-Mar
Brighton,Aston Villa,1-Feb
Fulham,Man Utd,1-Feb
Brentford,Spurs,26/12/2022
Crystal Palace,Fulham,26/12/2022
Everton,Wolves,26/12/2022
Leicester,Newcastle,26/12/2022
Southampton,Brighton,26/12/2022
Aston Villa,Liverpool,26/12/2022
Arsenal,West Ham,26/12/2022
Chelsea,Bournemouth,27/12/2022
Man Utd,Nottingham Forest,27/12/2022
Leeds,Man City,28/12/2022
West Ham,Brentford,30/12/2022
Liverpool,Leicester,30/12/2022
Wolves,Man Utd,31/12/2022
Bournemouth,Crystal Palace,31/12/2022
Fulham,Southampton,31/12/2022
Man City,Everton,31/12/2022
Newcastle,Leeds,31/12/2022
Brighton,Arsenal,31/12/2022
Spurs,Aston Villa,1/1/2023
Nottingham Forest,Chelsea,1/1/2023
Brentford,Liverpool,2/1/2023
Arsenal,Newcastle,3/1/2023
Everton,Brighton,3/1/2023
Leicester,Fulham,3/1/2023
Man Utd,Bournemouth,3/1/2023
Southampton,Nottingham Forest,4/1/2023
Leeds,West Ham,4/1/2023
Aston Villa,Wolves,4/1/2023
Crystal Palace,Spurs,4/1/2023
Chelsea,Man City,5/1/2023
Aston Villa,Leeds,13/1/2023
Man Utd,Man City,14/1/2023
Brighton,Liverpool,14/1/2023
Everton,Southampton,14/1/2023
Nottingham Forest,Leicester,14/1/2023
Wolves,West Ham,14/1/2023
Brentford,Bournemouth,14/1/2023
Chelsea,Crystal Palace,15/1/2023
Newcastle,Fulham,15/1/2023
Spurs,Arsenal,15/1/2023
Liverpool,Chelsea,21/1/2023
Bournemouth,Nottingham Forest,21/1/2023
Leicester,Brighton,21/1/2023
Southampton,Aston Villa,21/1/2023
West Ham,Everton,21/1/2023
Crystal Palace,Newcastle,21/1/2023
Leeds,Brentford,22/1/2023
Man City,Wolves,22/1/2023
Arsenal,Man Utd,22/1/2023
Fulham,Spurs,23/1/2023
Chelsea,Fulham,3/2/2023
