,Team,P,W,D,L,F,A,+/-,Points
1,FC Barcelona,14,12,1,1,33,5,28,37
2,Real Madrid,14,11,2,1,33,14,19,35
3,Real Sociedad,14,8,2,4,19,17,2,26
4,Atlético de Madrid,14,7,3,4,21,14,7,24
5,Athletic Club,14,7,3,4,24,14,10,24
6,Real Betis,14,7,3,4,17,12,5,24
7,CA Osasuna,14,7,2,5,16,14,2,23
8,Rayo Vallecano,14,6,4,4,20,16,4,22
9,Villarreal CF,14,6,3,5,15,10,5,21
10,RCD Mallorca,14,5,4,5,13,13,0,19
11,Valencia CF,14,5,4,5,22,15,7,19
12,Real Valladolid CF,14,5,2,7,13,21,-8,17
13,UD Almería,14,5,1,8,16,22,-6,16
14,Girona FC,14,4,4,6,20,22,-2,16
15,Getafe CF,14,3,5,6,12,20,-8,14
16,RCD Espanyol de Barcelona,14,2,6,6,16,22,-6,12
17,RC Celta,14,3,3,8,14,26,-12,12
18,Sevilla FC,14,2,5,7,13,22,-9,11
19,Cádiz CF,14,2,5,7,9,26,-17,11
20,Elche CF,14,0,4,10,10,31,-21,4
